0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1/18/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/19/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/20/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/21/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/24/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/25/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/26/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/27/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/28/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
1/31/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/1/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/2/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/3/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/4/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/7/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/8/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/9/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/10/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/11/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/14/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/15/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/16/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/17/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/18/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/22/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/23/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/24/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/25/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/28/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
2/29/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/1/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/2/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/3/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/6/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/7/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/8/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/9/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/10/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/13/00,3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09
3/14/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
3/15/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
3/16/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
3/17/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
3/20/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
3/21/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
3/22/00,6/21/00,9/20/00,12/20/00,3/21/01,6/20/01,9/19/01,12/19/01,3/20/02,6/19/02,9/18/02,12/18/02,3/19/03,6/18/03,9/17/03,12/17/03,3/17/04,6/16/04,9/15/04,12/15/04,3/16/05,6/15/05,9/21/05,12/21/05,3/15/06,6/21/06,9/20/06,12/20/06,3/21/07,6/20/07,9/19/07,12/19/07,3/19/08,6/18/08,9/17/08,12/17/08,3/18/09,6/17/09,9/16/09,12/16/09,3/17/10
